time,temperature,humidity,wind_speed,precipitation
2026-09-22 00:00:00,25.2,97,7.2,1.5
2026-09-22 01:00:00,25.5,97,7.3,1.3
2026-09-22 02:00:00,24.8,96,7.6,4.5
2026-09-22 03:00:00,24.8,97,6.3,3.7
2026-09-22 04:00:00,24.7,98,7.9,2.6
2026-09-22 05:00:00,24.7,95,8.6,2.5
2026-09-22 06:00:00,24.6,97,8.6,1.2
2026-09-22 07:00:00,25.2,95,9.7,0.5
2026-09-22 08:00:00,26.3,91,8.9,0.4
2026-09-22 09:00:00,27.8,81,8.5,0.2
2026-09-22 10:00:00,28.8,75,9.5,0.2
2026-09-22 11:00:00,30.1,73,8.2,0.2
2026-09-22 12:00:00,30.8,69,7.4,0.3
2026-09-22 13:00:00,30.8,68,5.4,0.2
2026-09-22 14:00:00,31.1,68,1.5,0.1
2026-09-22 15:00:00,26.3,92,4.7,14.4
2026-09-22 16:00:00,26.2,92,1.3,6.5
2026-09-22 17:00:00,25.9,87,3.6,1.9
2026-09-22 18:00:00,25.1,96,0.9,1.8
2026-09-22 19:00:00,24.9,97,4.0,1.6
2026-09-22 20:00:00,25.1,98,4.7,1.3
2026-09-22 21:00:00,25.2,97,2.5,0.7
2026-09-22 22:00:00,25.1,98,3.6,0.6
2026-09-22 23:00:00,25.0,99,3.2,0.3
2026-09-23 00:00:00,25.0,99,1.6,0.1
2026-09-23 01:00:00,24.8,99,0.0,0.1
2026-09-23 02:00:00,24.7,99,1.3,0.0
2026-09-23 03:00:00,24.8,99,2.0,0.1
2026-09-23 04:00:00,24.7,97,1.7,0.2
2026-09-23 05:00:00,24.8,95,1.4,0.4
2026-09-23 06:00:00,24.8,96,5.1,0.4
2026-09-23 07:00:00,24.8,95,5.0,0.7
2026-09-23 08:00:00,24.6,97,7.6,1.0
2026-09-23 09:00:00,25.0,96,7.6,0.8
2026-09-23 10:00:00,26.3,87,4.4,0.3
2026-09-23 11:00:00,27.1,82,3.8,0.9
2026-09-23 12:00:00,27.6,82,2.1,0.6
2026-09-23 13:00:00,28.6,80,3.8,0.1
2026-09-23 14:00:00,28.0,83,7.1,0.1
2026-09-23 15:00:00,25.9,95,8.6,6.4
2026-09-23 16:00:00,26.2,92,7.2,0.8
2026-09-23 17:00:00,25.4,94,6.5,1.0
2026-09-23 18:00:00,25.1,97,5.9,2.9
2026-09-23 19:00:00,25.1,98,5.9,3.6
2026-09-23 20:00:00,25.2,98,6.5,3.5
2026-09-23 21:00:00,25.2,98,4.5,2.8
2026-09-23 22:00:00,25.1,98,5.1,1.2
2026-09-23 23:00:00,25.0,96,5.2,0.5
2026-09-24 00:00:00,24.7,97,7.8,0.2
2026-09-24 01:00:00,24.7,97,6.5,0.1
2026-09-24 02:00:00,24.5,97,7.5,0.6
2026-09-24 03:00:00,24.4,97,8.5,0.7
2026-09-24 04:00:00,24.3,97,8.9,1.0
2026-09-24 05:00:00,24.4,97,11.2,0.2
2026-09-24 06:00:00,24.2,97,11.0,0.2
2026-09-24 07:00:00,24.6,95,9.4,0.3
2026-09-24 08:00:00,26.0,87,11.0,0.4
2026-09-24 09:00:00,27.1,83,10.6,0.2
2026-09-24 10:00:00,28.9,75,14.7,0.1
2026-09-24 11:00:00,25.6,92,17.6,6.9
2026-09-24 12:00:00,26.3,92,13.0,3.2
2026-09-24 13:00:00,27.6,84,17.8,0.2
2026-09-24 14:00:00,26.2,92,12.5,3.1
2026-09-24 15:00:00,27.3,87,12.8,0.7
2026-09-24 16:00:00,26.2,91,17.7,2.7
2026-09-24 17:00:00,25.4,95,12.6,2.1
2026-09-24 18:00:00,25.3,95,10.8,0.8
2026-09-24 19:00:00,25.0,96,11.2,0.2
2026-09-24 20:00:00,25.0,96,10.5,0.0
2026-09-24 21:00:00,24.9,96,9.3,0.0
2026-09-24 22:00:00,25.0,96,9.4,0.0
2026-09-24 23:00:00,24.9,96,9.2,0.0
2026-09-25 00:00:00,25.0,95,9.5,0.0
2026-09-25 01:00:00,24.6,96,9.4,0.3
2026-09-25 02:00:00,24.6,97,10.1,0.3
2026-09-25 03:00:00,24.5,96,8.6,0.0
2026-09-25 04:00:00,24.4,96,7.5,0.0
2026-09-25 05:00:00,24.3,97,4.4,0.0
2026-09-25 06:00:00,24.4,97,3.8,0.0
2026-09-25 07:00:00,25.4,94,5.2,0.0
2026-09-25 08:00:00,27.0,84,8.7,0.0
2026-09-25 09:00:00,28.3,77,11.3,0.1
2026-09-25 10:00:00,29.4,73,13.6,0.1
2026-09-25 11:00:00,30.5,73,13.6,0.1
2026-09-25 12:00:00,31.2,68,15.3,0.2
2026-09-25 13:00:00,26.3,90,16.1,3.6
2026-09-25 14:00:00,27.0,88,13.5,1.2
2026-09-25 15:00:00,26.6,90,11.9,2.7
2026-09-25 16:00:00,25.5,90,11.9,3.8
2026-09-25 17:00:00,25.2,95,10.0,2.9
2026-09-25 18:00:00,25.2,96,7.9,0.8
2026-09-25 19:00:00,24.7,97,7.9,1.2
2026-09-25 20:00:00,24.7,97,7.0,0.1
2026-09-25 21:00:00,24.9,97,6.6,0.1
2026-09-25 22:00:00,25.0,97,6.5,0.1
2026-09-25 23:00:00,24.9,98,5.9,0.0
2026-09-26 00:00:00,24.7,98,6.0,0.0
2026-09-26 01:00:00,24.6,98,6.5,0.0
2026-09-26 02:00:00,24.5,98,6.5,0.0
2026-09-26 03:00:00,24.5,98,6.2,0.0
2026-09-26 04:00:00,24.5,98,6.2,0.0
2026-09-26 05:00:00,24.7,97,7.0,0.0
2026-09-26 06:00:00,24.9,96,7.7,0.0
2026-09-26 07:00:00,25.4,93,8.5,0.0
2026-09-26 08:00:00,26.5,88,8.6,0.0
2026-09-26 09:00:00,27.9,83,8.4,0.0
2026-09-26 10:00:00,28.9,79,8.7,0.0
2026-09-26 11:00:00,29.2,76,9.5,0.1
2026-09-26 12:00:00,29.1,75,10.6,0.1
2026-09-26 13:00:00,28.6,76,11.7,0.1
2026-09-26 14:00:00,27.4,81,12.9,2.5
2026-09-26 15:00:00,25.9,89,13.9,2.5
2026-09-26 16:00:00,24.7,95,14.0,2.5
2026-09-26 17:00:00,24.5,97,11.8,2.4
2026-09-26 18:00:00,24.8,97,8.6,2.4
2026-09-26 19:00:00,24.9,97,6.4,2.4
2026-09-26 20:00:00,24.8,97,5.9,0.0
2026-09-26 21:00:00,24.6,97,6.4,0.0
2026-09-26 22:00:00,24.5,97,6.4,0.0
2026-09-26 23:00:00,24.4,98,5.8,0.0
2026-09-27 00:00:00,24.3,98,5.6,0.0
2026-09-27 01:00:00,24.2,98,5.5,0.0
2026-09-27 02:00:00,24.1,98,5.1,0.0
2026-09-27 03:00:00,24.0,99,4.5,0.0
2026-09-27 04:00:00,24.1,98,4.4,0.0
2026-09-27 05:00:00,24.3,97,5.6,0.0
2026-09-27 06:00:00,24.7,96,7.4,0.0
2026-09-27 07:00:00,25.5,92,8.9,0.0
2026-09-27 08:00:00,26.8,85,9.6,0.1
2026-09-27 09:00:00,28.5,77,10.5,0.1
2026-09-27 10:00:00,29.8,71,11.5,0.1
2026-09-27 11:00:00,30.7,68,12.4,0.0
2026-09-27 12:00:00,31.1,66,13.0,0.0
2026-09-27 13:00:00,30.9,67,13.4,0.0
2026-09-27 14:00:00,29.6,73,13.9,1.5
2026-09-27 15:00:00,27.6,82,14.7,1.5
2026-09-27 16:00:00,26.0,90,14.2,1.5
2026-09-27 17:00:00,25.4,94,9.8,1.2
2026-09-27 18:00:00,25.3,96,4.3,1.2
2026-09-27 19:00:00,25.2,97,3.5,1.2
2026-09-27 20:00:00,25.1,98,3.6,0.1
2026-09-27 21:00:00,25.0,98,3.8,0.1
2026-09-27 22:00:00,24.9,99,4.7,0.1
2026-09-27 23:00:00,24.7,99,4.7,0.0
2026-09-28 00:00:00,24.6,98,4.7,0.0
2026-09-28 01:00:00,24.5,98,4.5,0.0
2026-09-28 02:00:00,24.7,97,3.5,0.0
2026-09-28 03:00:00,24.7,97,3.7,0.0
2026-09-28 04:00:00,24.6,98,3.8,0.0
2026-09-28 05:00:00,24.7,97,3.8,0.0
2026-09-28 06:00:00,25.0,96,4.0,0.0
2026-09-28 07:00:00,25.4,93,4.3,0.0
2026-09-28 08:00:00,26.3,89,4.9,0.1
2026-09-28 09:00:00,27.7,82,5.9,0.1
