time,temperature,humidity,wind_speed,precipitation,hour,day,month,day_of_week,day_name,is_weekend,is_rainy,temperature_category
2026-09-12 00:00:00,25.2,96,2.9,0.4,0,12,9,5,Saturday,True,True,Moderate
2026-09-12 01:00:00,25.1,90,0.5,0.3,1,12,9,5,Saturday,True,True,Moderate
2026-09-12 02:00:00,24.4,95,3.0,0.5,2,12,9,5,Saturday,True,True,Moderate
2026-09-12 03:00:00,24.6,96,1.5,0.1,3,12,9,5,Saturday,True,True,Moderate
2026-09-12 04:00:00,24.5,96,3.1,0.0,4,12,9,5,Saturday,True,False,Moderate
2026-09-12 05:00:00,24.3,97,4.7,0.0,5,12,9,5,Saturday,True,False,Moderate
2026-09-12 06:00:00,24.2,97,4.3,0.0,6,12,9,5,Saturday,True,False,Moderate
2026-09-12 07:00:00,24.7,94,6.3,0.0,7,12,9,5,Saturday,True,False,Moderate
2026-09-12 08:00:00,25.5,89,6.9,0.0,8,12,9,5,Saturday,True,False,Moderate
2026-09-12 09:00:00,26.6,83,6.9,0.0,9,12,9,5,Saturday,True,False,Moderate
2026-09-12 10:00:00,27.9,76,7.2,0.1,10,12,9,5,Saturday,True,True,Moderate
2026-09-12 11:00:00,29.0,73,5.7,0.1,11,12,9,5,Saturday,True,True,Moderate
2026-09-12 12:00:00,29.6,71,5.5,0.0,12,12,9,5,Saturday,True,False,Moderate
2026-09-12 13:00:00,30.5,66,7.3,0.0,13,12,9,5,Saturday,True,False,Hot
2026-09-12 14:00:00,28.3,77,13.8,2.3,14,12,9,5,Saturday,True,True,Moderate
2026-09-12 15:00:00,26.1,94,8.7,9.7,15,12,9,5,Saturday,True,True,Moderate
2026-09-12 16:00:00,25.7,90,9.4,1.4,16,12,9,5,Saturday,True,True,Moderate
2026-09-12 17:00:00,25.6,94,6.8,1.3,17,12,9,5,Saturday,True,True,Moderate
2026-09-12 18:00:00,25.5,96,6.6,1.3,18,12,9,5,Saturday,True,True,Moderate
2026-09-12 19:00:00,25.2,97,5.2,0.2,19,12,9,5,Saturday,True,True,Moderate
2026-09-12 20:00:00,25.2,97,3.5,0.1,20,12,9,5,Saturday,True,True,Moderate
2026-09-12 21:00:00,25.2,97,3.5,0.6,21,12,9,5,Saturday,True,True,Moderate
2026-09-12 22:00:00,25.0,98,5.9,0.7,22,12,9,5,Saturday,True,True,Moderate
2026-09-12 23:00:00,24.8,98,4.0,0.1,23,12,9,5,Saturday,True,True,Moderate
2026-09-13 00:00:00,24.7,98,3.9,0.7,0,13,9,6,Sunday,True,True,Moderate
2026-09-13 01:00:00,24.6,98,5.1,0.1,1,13,9,6,Sunday,True,True,Moderate
2026-09-13 02:00:00,24.4,99,4.4,0.0,2,13,9,6,Sunday,True,False,Moderate
2026-09-13 03:00:00,24.3,99,3.9,0.0,3,13,9,6,Sunday,True,False,Moderate
2026-09-13 04:00:00,24.2,99,2.7,0.0,4,13,9,6,Sunday,True,False,Moderate
2026-09-13 05:00:00,24.1,99,3.0,0.0,5,13,9,6,Sunday,True,False,Moderate
2026-09-13 06:00:00,24.1,99,2.1,0.0,6,13,9,6,Sunday,True,False,Moderate
2026-09-13 07:00:00,25.2,93,4.5,0.0,7,13,9,6,Sunday,True,False,Moderate
2026-09-13 08:00:00,26.7,86,7.2,0.0,8,13,9,6,Sunday,True,False,Moderate
2026-09-13 09:00:00,27.8,79,10.3,0.1,9,13,9,6,Sunday,True,True,Moderate
2026-09-13 10:00:00,29.5,74,10.9,0.2,10,13,9,6,Sunday,True,True,Moderate
2026-09-13 11:00:00,30.5,72,9.8,0.1,11,13,9,6,Sunday,True,True,Hot
2026-09-13 12:00:00,31.2,69,10.4,0.1,12,13,9,6,Sunday,True,True,Hot
2026-09-13 13:00:00,30.9,69,13.1,0.2,13,13,9,6,Sunday,True,True,Hot
2026-09-13 14:00:00,26.2,89,17.8,3.8,14,13,9,6,Sunday,True,True,Moderate
2026-09-13 15:00:00,28.4,82,9.8,0.5,15,13,9,6,Sunday,True,True,Moderate
2026-09-13 16:00:00,26.2,89,12.0,3.8,16,13,9,6,Sunday,True,True,Moderate
2026-09-13 17:00:00,26.5,90,5.6,0.6,17,13,9,6,Sunday,True,True,Moderate
2026-09-13 18:00:00,25.7,95,8.3,1.6,18,13,9,6,Sunday,True,True,Moderate
2026-09-13 19:00:00,25.0,96,7.5,0.8,19,13,9,6,Sunday,True,True,Moderate
2026-09-13 20:00:00,24.9,97,5.7,0.1,20,13,9,6,Sunday,True,True,Moderate
2026-09-13 21:00:00,25.0,97,4.5,0.0,21,13,9,6,Sunday,True,False,Moderate
2026-09-13 22:00:00,25.0,97,3.2,0.0,22,13,9,6,Sunday,True,False,Moderate
2026-09-13 23:00:00,25.0,98,3.1,0.0,23,13,9,6,Sunday,True,False,Moderate
2026-09-14 00:00:00,24.9,98,4.2,0.0,0,14,9,0,Monday,False,False,Moderate
2026-09-14 01:00:00,24.8,98,5.1,0.0,1,14,9,0,Monday,False,False,Moderate
2026-09-14 02:00:00,24.6,98,3.6,0.0,2,14,9,0,Monday,False,False,Moderate
2026-09-14 03:00:00,24.5,98,1.3,0.0,3,14,9,0,Monday,False,False,Moderate
2026-09-14 04:00:00,24.5,98,2.3,0.0,4,14,9,0,Monday,False,False,Moderate
2026-09-14 05:00:00,24.5,98,1.4,0.0,5,14,9,0,Monday,False,False,Moderate
2026-09-14 06:00:00,24.5,99,2.3,0.0,6,14,9,0,Monday,False,False,Moderate
2026-09-14 07:00:00,25.8,93,4.3,0.0,7,14,9,0,Monday,False,False,Moderate
2026-09-14 08:00:00,27.1,87,7.2,0.0,8,14,9,0,Monday,False,False,Moderate
2026-09-14 09:00:00,28.8,78,9.6,0.1,9,14,9,0,Monday,False,True,Moderate
2026-09-14 10:00:00,30.1,73,10.9,0.2,10,14,9,0,Monday,False,True,Hot
2026-09-14 11:00:00,31.1,71,10.3,0.0,11,14,9,0,Monday,False,False,Hot
2026-09-14 12:00:00,31.6,69,11.9,0.0,12,14,9,0,Monday,False,False,Hot
